,harmonic_centrality,eigenvector_centrality,degree_centrality,closeness_centrality,information_centrality
EX_sarcs(e),175.4778499278509,1.4401071155407413e-08,0.0009505703422053232,0.1553684832373357,0.000387886772655503
EX_ser-L(e),266.7785714285698,1.6566491936539817e-05,0.0028517110266159697,0.23806291016066983,0.0014876873733699037
EX_so4(e),228.6138888888838,1.3711209853651308e-06,0.0009505703422053232,0.20168711656441718,0.0006042623184209634
EX_tcynt(e),188.4289682539682,2.3689051699274774e-08,0.0009505703422053232,0.1709735088574679,0.00037174735408671656
EX_urea(e),181.53174603174665,1.2462115682491953e-08,0.0009505703422053232,0.16489028213166143,0.00037130185616686954
EX_val-L(e),211.34841269840922,1.0604940695643445e-07,0.0009505703422053232,0.1910642934980022,0.0005434050521646854
sink_4hpro-LT(m),283.0793650793651,0.0005151492897544717,0.0009505703422053232,0.22924384397472217,0.0007405825303518032
sink_amet,218.59166666666343,1.376902851037879e-05,0.0009505703422053232,0.18715531044298167,0.0006224240550398836
sink_decdp,184.70840548340638,2.8221030328105524e-07,0.0009505703422053232,0.16097934200459066,0.0004052446967056634
sink_dhf(c),221.9892857142823,3.7309568988987905e-06,0.0009505703422053232,0.18890285509068055,0.0004170778308238384
sink_dmgly,210.84404761904497,1.8385519872556185e-06,0.0009505703422053232,0.18276580958999306,0.0004160568681233077
sink_tyr-L(m),258.28888888888366,7.995285610614857e-05,0.0009505703422053232,0.21866555809602994,0.0007292768338360168
10FTHF5GLUtm,293.34365079365335,0.0010900525994765715,0.0028517110266159697,0.23305272485600353,0.0012206033061084632
10FTHF6GLUtm,293.4269841269867,0.0010899937196341975,0.0028517110266159697,0.2331043651672945,0.0012206087699395353
10FTHF7GLUtm,292.67698412698655,0.0005449841706996643,0.0019011406844106464,0.2329495128432241,0.0007426067619994072
10FTHFtm,302.3484126984175,0.001809534475075555,0.0038022813688212928,0.23709713770565696,0.001796038319419168
"1a,24,25VITD2Hm",443.2119047619002,0.08081229687971063,0.155893536121673,0.3019517795637199,0.003351985398377812
"1a,24,25VITD3Hm",443.2119047619002,0.08081229687971063,0.155893536121673,0.3019517795637199,0.003351985398377761
"1a,25VITD2Hm",443.2119047619002,0.08081229687971063,0.155893536121673,0.3019517795637199,0.003351985398377802
"1a,25VITD3Hm",443.2119047619002,0.08081229687971063,0.155893536121673,0.3019517795637199,0.003351985398377807
"24,25VITD2Hm",444.6452380952336,0.08082751561589627,0.15684410646387834,0.3027338129496403,0.0033527271908356084
"24,25VITD3Hm",444.6452380952336,0.08082751597392014,0.15684410646387834,0.3027338129496403,0.0033527277408079616
25HVITD2t,239.26785714285126,2.3380064550470813e-05,0.004752851711026616,0.21052631578947367,0.0015100814888736004
25HVITD2tin,239.26785714285126,2.3380064550470813e-05,0.004752851711026616,0.21052631578947367,0.0015100814888736015
25HVITD2tin_m,301.01785714285865,0.0016723051033331207,0.0076045627376425855,0.24539304875204104,0.0020183308039498746
25HVITD2tm,301.01785714285865,0.0016723051033331207,0.0076045627376425855,0.24539304875204104,0.002018330803949873
25HVITD3t,239.38452380951793,2.338043259371765e-05,0.004752851711026616,0.21061061061061062,0.001510090744527897
25HVITD3tin,239.38452380951793,2.338043259371765e-05,0.004752851711026616,0.21061061061061062,0.0015100907445278959
25HVITD3tin_m,301.21785714285863,0.0016723314283725694,0.0076045627376425855,0.2455075845974329,0.002018347346813345
25HVITD3tm,301.21785714285863,0.0016723314283725694,0.0076045627376425855,0.2455075845974329,0.002018347346813345
25VITD2Hm,444.6452380952336,0.08082751561589627,0.15684410646387834,0.3027338129496403,0.0033527271908356288
25VITD3Hm,444.6452380952336,0.08082751597392014,0.15684410646387834,0.3027338129496403,0.0033527277408079564
2AMADPTm,340.0619047619058,0.004724007251430093,0.029467680608365018,0.2689849143441575,0.003053748577232245
2OXOADOXm,386.24523809523663,0.032128511031734426,0.07604562737642585,0.28470906630581866,0.0032761931610443243
2OXOADPTm,340.0619047619058,0.004381893404202562,0.029467680608365018,0.2689849143441575,0.0030536604679911507
34HPLFM,429.3952380952334,0.07558047046864103,0.13688212927756654,0.29751131221719457,0.0033422474393093172
3AIBTm,363.9785714285719,0.011898527852774305,0.03802281368821293,0.28030908606448174,0.0031330965832379537
3AIBt,215.04603174602786,5.616869800412818e-07,0.0028517110266159697,0.1924624954262715,0.0006058379899138187
3AIBtm,262.8936507936464,8.1472520063355e-05,0.0028517110266159697,0.2228813559322034,0.0008855185585720644
