ID,Node_type
C226CPT2_Neuron,Neuron
C2M26DCOAHLm_Neuron,Neuron
CATm_Neuron,Neuron
CBLATm_Neuron,Neuron
CDPDAGtm_Neuron,Neuron
CDSm_Neuron,Neuron
CHSTEROLt3_Neuron,Neuron
CITRtm_Neuron,Neuron
CITtam_Neuron,Neuron
CITtbm_Neuron,Neuron
CK_Neuron,Neuron
CO2t_Neuron,Neuron
CO2tm_Neuron,Neuron
COQ5m_Neuron,Neuron
COQ6m_Neuron,Neuron
COQ7m_Neuron,Neuron
COUCOAFm_Neuron,Neuron
CPPPGO_Neuron,Neuron
CRNt_Neuron,Neuron
CRNtim_Neuron,Neuron
CSNAT2m_Neuron,Neuron
CSNATm_Neuron,Neuron
CSm_Neuron,Neuron
CYANSTm_Neuron,Neuron
CYANt_Neuron,Neuron
CYANtm_Neuron,Neuron
CYSGLUexR_Neuron,Neuron
CYSGLYexR_Neuron,Neuron
CYSO_Neuron,Neuron
CYSTAm_Neuron,Neuron
CYStec_Neuron,Neuron
CYTK1m_Neuron,Neuron
D-LACt2_Neuron,Neuron
D-LACtm_Neuron,Neuron
DDPGAm_Neuron,Neuron
DECDPtm_Neuron,Neuron
DGNSKm_Neuron,Neuron
DGSNt_Neuron,Neuron
DGSNtm_Neuron,Neuron
DHDPBMTm_Neuron,Neuron
DHFtm_Neuron,Neuron
DMGDHm_Neuron,Neuron
DMGtm_Neuron,Neuron
DPHMBDCm_Neuron,Neuron
DURIK1m_Neuron,Neuron
DUTPDPm_Neuron,Neuron
ECOAH12m_Neuron,Neuron
ECOAH1m_Neuron,Neuron
ECOAH9m_Neuron,Neuron
EHGLAT2m_Neuron,Neuron
EHGLATm_Neuron,Neuron
ETF_Neuron,Neuron
ETFQO_Neuron,Neuron
ETOHMO_Neuron,Neuron
ETOHt_Neuron,Neuron
FALDtm_Neuron,Neuron
FCLTm_Neuron,Neuron
FE2tm_Neuron,Neuron
FORt2m_Neuron,Neuron
FPGS2m_Neuron,Neuron
FPGS3m_Neuron,Neuron
FPGS4m_Neuron,Neuron
FPGS5m_Neuron,Neuron
FPGS6m_Neuron,Neuron
FPGS7m_Neuron,Neuron
FPGS8m_Neuron,Neuron
FPGS9m_Neuron,Neuron
FPGSm_Neuron,Neuron
FTHFLm_Neuron,Neuron
FUMSO3tm_Neuron,Neuron
FUMSO4tm_Neuron,Neuron
FUMTSULtm_Neuron,Neuron
FUMm_Neuron,Neuron
FUMtm_Neuron,Neuron
G3PD2m_Neuron,Neuron
G5SDym_Neuron,Neuron
G6PDH2r_Neuron,Neuron
GCALDDm_Neuron,Neuron
GCC2am_Neuron,Neuron
GCC2bim_Neuron,Neuron
GCC2cm_Neuron,Neuron
GCCam_Neuron,Neuron
GCCbim_Neuron,Neuron
GCCcm_Neuron,Neuron
GHMT2rm_Neuron,Neuron
GHMT3m_Neuron,Neuron
GLACOm_Neuron,Neuron
GLNtm_Neuron,Neuron
GLU5Km_Neuron,Neuron
GLUDxm_Neuron,Neuron
GLUDym_Neuron,Neuron
GLUNm_Neuron,Neuron
GLUTCOADHm_Neuron,Neuron
GLUVESSEC_Neuron,Neuron
GLUt2m_Neuron,Neuron
GLYATm_Neuron,Neuron
GLYCLTDym_Neuron,Neuron
GLYCt_Neuron,Neuron
GLYCtm_Neuron,Neuron
GLYKm_Neuron,Neuron
GLYOXm_Neuron,Neuron
GLYtm_Neuron,Neuron
GND_Neuron,Neuron
GTHOm_Neuron,Neuron
GTHPm_Neuron,Neuron
H2CO3Dm_Neuron,Neuron
H2O2t_Neuron,Neuron
H2O2tm_Neuron,Neuron
H2Ot_Neuron,Neuron
H2Otm_Neuron,Neuron
HACD1m_Neuron,Neuron
HACD9m_Neuron,Neuron
HBZOPT10m_Neuron,Neuron
HCO3Em_Neuron,Neuron
HIBDm_Neuron,Neuron
HMBS_Neuron,Neuron
HMGCOASim_Neuron,Neuron
HMGLm_Neuron,Neuron
HPROxm_Neuron,Neuron
Ht_Neuron,Neuron
Htm_Neuron,Neuron
ICDHxm_Neuron,Neuron
ICDHyrm_Neuron,Neuron
ILETA_Neuron,Neuron
ILETAm_Neuron,Neuron
ILEt5m_Neuron,Neuron
ILEtec_Neuron,Neuron
IMACTD_m_Neuron,Neuron
ITCOAL1m_Neuron,Neuron
ITCOALm_Neuron,Neuron
Kt1r_Neuron,Neuron
L-LACt2r_Neuron,Neuron
L-LACtm_Neuron,Neuron
LCADi_Dm_Neuron,Neuron
LCADim_Neuron,Neuron
LCYSTATm_Neuron,Neuron
LDH_L_Neuron,Neuron
LDH_Lm_Neuron,Neuron
LEUTA_Neuron,Neuron
LEUTAm_Neuron,Neuron
LEUt5m_Neuron,Neuron
LEUtec_Neuron,Neuron
LSOProd_Neuron,Neuron
LYStiDF_Neuron,Neuron
LYStm_Neuron,Neuron
MALSO3tm_Neuron,Neuron
MALSO4tm_Neuron,Neuron
MALTSULtm_Neuron,Neuron
MALtm_Neuron,Neuron
MCCCrm_Neuron,Neuron
MDH_Neuron,Neuron
MDHm_Neuron,Neuron
ME2m_Neuron,Neuron
MECOALm_Neuron,Neuron
MECOAS1m_Neuron,Neuron
MGCHrm_Neuron,Neuron
MMCDm_Neuron,Neuron
MMEm_Neuron,Neuron
MMMm_Neuron,Neuron
MMSAD1m_Neuron,Neuron
MMSAD3m_Neuron,Neuron
MTHFCm_Neuron,Neuron
MTHFDm_Neuron,Neuron
NABTNOm_Neuron,Neuron
NDPK10m_Neuron,Neuron
NDPK1m_Neuron,Neuron
NDPK2m_Neuron,Neuron
NDPK3m_Neuron,Neuron
NDPK4m_Neuron,Neuron
NDPK5m_Neuron,Neuron
NDPK6m_Neuron,Neuron
NDPK7m_Neuron,Neuron
NDPK8m_Neuron,Neuron
NDPK9m_Neuron,Neuron
NH4t3r_Neuron,Neuron
NMNATm_Neuron,Neuron
NNATm_Neuron,Neuron
NTD1m_Neuron,Neuron
NTD2m_Neuron,Neuron
NTD5m_Neuron,Neuron
NaKt_Neuron,Neuron
O2St_Neuron,Neuron
O2Stm_Neuron,Neuron
O2t_Neuron,Neuron
O2tm_Neuron,Neuron
