ID,Node,variable,value
L-LACtm,Astrocyte,Flux,0
ALDD2xm,Astrocyte,Flux,0
AKGDm,Astrocyte,Flux,0
HEX1,Astrocyte,Flux,0.2275047612364218
PFK,Astrocyte,Flux,0.2275047612364218
FBA,Astrocyte,Flux,0.2275047612364218
PGI,Astrocyte,Flux,0.2275047612364218
TPI,Astrocyte,Flux,0.2275047612364218
LacLtm,Astrocyte,Flux,0
PCm,Astrocyte,Flux,0
DM_for,Terminal,Flux,0
PPAm,Astrocyte,Flux,0
DM_q10(m)_Neuron,Terminal,Flux,0
ACACt2_Neuron,Neuron,Flux,0
ALCD2if_Neuron,Neuron,Flux,0
ALR_Neuron,Neuron,Flux,0
EX_pe_hs(e),Exchange,Flux,0
PEFLIP_Int,Astrocyte,Flux,0
NaKt_Int,Astrocyte,Flux,0.19532483578669
SERGLNexR_Int,Astrocyte,Flux,0
CYSGLUexR_Int,Astrocyte,Flux,0
MMSAD1m_Neuron,Neuron,Flux,0
GLYKm_Neuron,Neuron,Flux,0
PNTKm_Neuron,Neuron,Flux,0
PEFLIPm_Neuron,Neuron,Flux,0
ALCD2yf_Neuron,Neuron,Flux,0
DM_thf(c)_Neuron,Terminal,Flux,0
DM_q10(m),Terminal,Flux,0
ASNt4_Neuron,Neuron,Flux,0
BTNt2_Int,Astrocyte,Flux,0.15733754037239156
BTNt4i_Int,Astrocyte,Flux,0.15733754037239156
PROD2m_Neuron,Neuron,Flux,0
MMCDm_Neuron,Terminal,Flux,0
SUCOAS1m_Neuron,Neuron,Flux,0
SUCOASm_Neuron,Neuron,Flux,0
DUTPDPm_Neuron,Neuron,Flux,0
ACYP_Neuron,Neuron,Flux,0
DM_atp(m)_Neuron,Terminal,Flux,0
DURIK1m_Neuron,Neuron,Flux,0
PCFLOPm_Neuron,Neuron,Flux,0
PEFLIP_Neuron,Neuron,Flux,0
PSFLIP_Neuron,Neuron,Flux,0
PSFLIPm_Neuron,Neuron,Flux,0
TMDK1m_Neuron,Neuron,Flux,0
ADK1_Neuron,Neuron,Flux,0
CKc_Neuron,Neuron,Flux,0
CREATtmdiffir_Neuron,Neuron,Flux,0
