,degree,harmonic,eigenvector,closeness,information,katz,pagerank
acrn_r,0.0010056315366049878,1485.3166666667196,0.0007011336672900347,0.28414675962967195,0.0003952669071236718,-0.004916191912084836,0.00010733690855520102
csn_c,0.0010056315366049878,1910.4666666665096,0.010671900955308051,0.3633440514469453,0.00037014332357805755,-0.0009460516061619625,0.0001262107400901524
ura_c,0.0030168946098149637,1921.966666666504,0.020024747832898416,0.3647835656639765,0.0005537370402087422,0.015002768734043057,0.0002552257546584104
csn_e,0.00020112630732099757,1365.300000000019,0.00015081251823480162,0.2665237201822568,0.0001303329610640303,-0.000103547848545766,5.1582428769015344e-05
cspg_a_g,0.0010056315366049878,1421.426190476223,0.00013597268208669506,0.2724831479147257,0.0003742678771587835,-0.009429031908875236,0.00013655632315148097
cspg_a_e,0.00040225261464199515,1152.4523809525006,3.748002688125565e-06,0.22380266474612892,0.0002116937606207828,-0.0008379642309171485,7.839983273624925e-05
cspg_b_g,0.0010056315366049878,1421.2595238095562,0.00013568785533898297,0.2724682156948707,0.000370958460074262,-0.009571479135970267,0.00013915821791269634
cspg_b_e,0.00040225261464199515,1152.369047619167,3.7437138169045914e-06,0.22379259125894585,0.00021133028427189086,-0.0008531307651041502,7.89084887115662e-05
cspg_c_g,0.0010056315366049878,1421.426190476223,0.0001359450591920786,0.2724831479147257,0.0003737393265664068,-0.009322650118293169,0.00013675880639511754
cspg_c_e,0.00040225261464199515,1152.4523809525006,3.747608009545054e-06,0.22380266474612892,0.0002116370208462643,-0.0008273240500380921,7.844989727512105e-05
cspg_d_g,0.0010056315366049878,1421.2595238095562,0.0001356914429679876,0.2724682156948707,0.00037114109649098113,-0.009547628801220422,0.00013882771521523903
cspg_d_e,0.00040225261464199515,1152.369047619167,3.7437647323335773e-06,0.22379259125894585,0.0002113505331098423,-0.0008507350445128641,7.883938822599818e-05
cspg_e_g,0.0012067578439259854,1421.7595238095564,0.00013764650411164701,0.2724831479147257,0.000398106757562987,-0.010621746079365427,0.00015931901407755002
cspg_e_e,0.00040225261464199515,1152.5357142858338,3.7716096144748682e-06,0.22380266474612892,0.00021412484748945136,-0.0009584340000636329,7.778540378461864e-05
utp_c,0.007039420756234915,1959.5666666664818,0.028787543556690727,0.37140509449465897,0.0006313361638500319,0.013034782811064282,0.0004617531071563095
