,eigenvector_centrality,pagerank,katz_centrality,global_reaching_centrality,closeness_centrality,harmonic_centrality,information_centrality,load_centrality,betweenness_centrality
FACOAL140i,0.025695244048817272,0.00013516384155916997,0.01295565123981818,0.2109971827353095,0.4963102106534282,4212.133333333409,0.0008095381710745531,0.00034091718283636306,0.0003810185814690208
FACOAL150,0.02569512738406238,0.00013516609410998352,0.012954549434100376,0.2109971827353095,0.4963102106534282,4211.800000000076,0.0008095360792285307,0.000777319967414884,0.0008162869406679644
FACOAL160i,0.025707950558520397,0.00013516606645351298,0.012966871574370608,0.2109971827353095,0.4967100845978246,4217.466666666734,0.0008095591141835678,0.0005041581538581209,0.0005612240569350022
FACOAL161,0.025696026732322647,0.0001351630186616262,0.012959000070870924,0.2109971827353095,0.4964434304120252,4213.800000000073,0.0008095446265057074,0.00046870018409257247,0.0005117964759863087
FACOAL170,0.02569512738406238,0.00013516609410998355,0.012954549434100376,0.2109971827353095,0.4963102106534282,4211.800000000076,0.0008095360792285593,0.0007773199674148838,0.0008162869406679644
FACOAL180i,0.025706802531598436,0.00013516309308628054,0.012959134967121907,0.2109971827353095,0.49641011876803326,4213.633333333406,0.0008095445834014354,0.0003377393935846026,0.0003786043650174057
FACOAL1812,0.025695482140876063,0.00013516404480319472,0.012956781778381221,0.2109971827353095,0.49634350888963435,4212.633333333408,0.000809540355368464,0.0004749864567155091,0.0005099685043835511
FACOAL1813,0.025695325547990245,0.00013516394241991556,0.012955665801175529,0.2109971827353095,0.4963102106534282,4212.133333333409,0.0008095382451169499,0.00040770855572323447,0.00044045940222201555
FACOAL181i,0.025707748008785957,0.00013516525222909896,0.012964689431639944,0.2109971827353095,0.49661005571591593,4216.300000000069,0.0008095548968679721,0.0005185425613245669,0.0005688204445952394
FACOAL1821,0.02569970005056969,0.00013516393501009438,0.012960170083313377,0.2109971827353095,0.49647674652707874,4214.300000000072,0.0008095466925187459,0.000430828508236188,0.0004722425032317492
FACOAL1822,0.025695535167833992,0.00013516404328649178,0.012956782074577277,0.2109971827353095,0.4963768115942029,4212.800000000074,0.0008095404912143275,0.0005731439294379499,0.0006058716227410484
