,harmonic_centrality,eigenvector_centrality,degree_centrality,betweenness_centrality,closeness_centrality,load_centrality,information_centrality,second_order_centrality,current_flow_closeness_centrality,current_flow_betweenness_centrality,approximate_current_flow_betweenness_centrality,communicability_betweenness_centrality
ETF_Neuron,0.0017990202,0.02888591,0.002779484,-0.005115999,0.00010903288,-0.0054411157,0.004379077,0.0009058921,0.004379077,-0.006941468,-0.3355705,0.019437175
ETFQO_Neuron,0.003739727,0.028889619,3.9039533e-05,-0.0073863547,-0.0008451983,-0.0076828497,-0.009006668,0.0036824325,-0.009006668,-0.0074499706,-0.45206138,0.019950878
ETOHMO_Neuron,0.0018091545,0.028895855,0.002779484,-0.005243724,0.00011745936,-0.0055686105,0.0051072612,0.0009031421,0.0051072612,-0.007178067,-0.46170104,0.01943446
ETOHt_Neuron,0.0017990202,0.028894676,0.002779484,-0.005115999,0.00010903288,-0.0054411157,0.0087013105,0.0008727199,0.0087013105,-0.0069488124,-0.08413029,0.01943938
FALDtm_Neuron,0.003739727,0.028889619,3.9039533e-05,-0.0073863547,-0.0008451983,-0.0076828497,-0.0090067545,0.0036822609,-0.0090067545,-0.007450144,0.147479,0.019950878
FBA_Neuron,0.055925656,0.040740043,0.103836045,0.12114599,0.047832508,0.11255166,0.06287752,0.012361117,0.06287752,0.08037873,-0.26423255,0.09496876
FCLTm_Neuron,0.003541073,0.0032845663,-0.00047999743,-0.0077213207,-0.0009690176,-0.0074192863,-0.012505241,0.0037913588,-0.012505241,0.0017045445,-0.10679273,0.0032452715
FE2tm_Neuron,0.0011885982,3.9039533e-05,-0.0013679103,-0.0012474133,-6.0367172e-05,-0.0012421634,-0.00044421357,0.0013461679,-0.00044421357,-0.00069274043,0.078146406,0.0002493533
FORt2m_Neuron,0.0011485588,5.8473984e-06,-0.0013679103,-0.0011591987,-8.547791e-05,-0.0011008509,-0.000647574,0.0013485734,-0.000647574,-0.0004611592,-0.09836006,0.0002141025
FPGS2m_Neuron,0.0011825839,1.4102508e-05,-0.0013679103,-0.0010614373,-7.2492505e-05,-0.0009857973,-0.00064731593,0.0013492607,-0.00064731593,-0.00036499335,-0.22136065,0.00026689237
FPGS3m_Neuron,0.0015288034,0.007939705,0.00018590127,-0.0024137308,7.102708e-05,-0.0023194156,0.00038639325,0.0011691801,0.00038639325,-0.0015678715,0.03156862,0.004546242
FPGS4m_Neuron,0.0017906035,0.0016444204,0.0012227942,0.0008319841,0.0004962566,0.0017820151,0.00022201252,0.0010346205,0.00022201252,0.0012872317,-0.3402572,0.0014066481
FPGS5m_Neuron,0.001221935,3.4052162e-05,-0.0008501027,0.012738418,-0.00023202325,0.0104936175,0.00018383774,0.0012982286,0.00018383774,0.0045580715,-0.4159143,0.00046169953
FPGS6m_Neuron,0.0017589977,0.026735164,0.002779484,-0.0014675001,9.321159e-05,-0.0014832526,-5.2971627e-05,0.00097103114,-5.2971627e-05,-0.0026219347,-0.26108208,0.017721698
FPGS7m_Neuron,0.0014365435,0.002615891,-0.0008501027,-0.0012814096,0.00021530621,-0.0013345145,0.00022063687,0.0011652277,0.00022063687,-0.0018076377,-0.26426786,0.0008610321
FPGS8m_Neuron,0.0017610589,0.00281965,-0.0008501027,-0.0062879543,0.0008407501,-0.006069808,0.0019513707,0.0010865211,0.0019513707,-0.004582352,0.14670151,0.0007001434
FPGS9m_Neuron,0.0017589977,0.029950228,0.0027793124,-0.0011549817,9.3383554e-05,-0.001163932,-6.483892e-05,0.0010031699,-6.483892e-05,-0.0020917067,-0.2965447,0.01999447
