ID,Module
G5SDym_Neuron,Central
G6PDH2r_Neuron,Central
GCC2am_Neuron,Central
GCC2bim_Neuron,Central
GCC2cm_Neuron,Central
GCCam_Neuron,Central
GCCbim_Neuron,Central
GCCcm_Neuron,Central
GHMT2rm_Neuron,Central
GHMT3m_Neuron,Central
GLACOm_Neuron,Central
GLU5Km_Neuron,Central
GLUDxm_Neuron,Central
GLUTCOADHm_Neuron,Central
GLYATm_Neuron,Central
GLYCt_Neuron,Central
GLYCtm_Neuron,Central
GLYtm_Neuron,Central
GND_Neuron,Central
GTHPm_Neuron,Central
H2O2t_Neuron,Central
H2O2tm_Neuron,Central
H2Ot_Neuron,Central
HACD1m_Neuron,Central
HACD9m_Neuron,Central
HBZOPT10m_Neuron,Central
HCO3Em_Neuron,Central
HMBS_Neuron,Central
HPROxm_Neuron,Central
Ht_Neuron,Central
ILETA_Neuron,Central
ILETAm_Neuron,Central
ILEt5m_Neuron,Central
ILEtec_Neuron,Central
IMACTD_m_Neuron,Central
ITCOAL1m_Neuron,Central
ITCOALm_Neuron,Central
LCADim_Neuron,Central
LCYSTATm_Neuron,Central
LDH_Lm_Neuron,Central
LEUTA_Neuron,Central
LEUTAm_Neuron,Central
LEUt5m_Neuron,Central
LEUtec_Neuron,Central
LYStiDF_Neuron,Central
LYStm_Neuron,Central
MALSO3tm_Neuron,Central
MALSO4tm_Neuron,Central
MALTSULtm_Neuron,Central
MALtm_Neuron,Central
MCCCrm_Neuron,Central
ME2m_Neuron,Central
MECOALm_Neuron,Central
MECOAS1m_Neuron,Central
MGCHrm_Neuron,Central
MMEm_Neuron,Central
MMMm_Neuron,Central
MMSAD3m_Neuron,Central
MTHFCm_Neuron,Central
NABTNOm_Neuron,Central
NDPK10m_Neuron,Central
NDPK1m_Neuron,Central
NDPK2m_Neuron,Central
NDPK3m_Neuron,Central
NDPK4m_Neuron,Central
NDPK5m_Neuron,Central
NDPK6m_Neuron,Central
NDPK7m_Neuron,Central
NDPK8m_Neuron,Central
NDPK9m_Neuron,Central
NNATm_Neuron,Central
NTD1m_Neuron,Central
NTD2m_Neuron,Central
NTD5m_Neuron,Central
O2St_Neuron,Central
O2Stm_Neuron,Central
OIVD1m_Neuron,Central
OIVD2m_Neuron,Central
OIVD3m_Neuron,Central
ORNTArm_Neuron,Central
ORNt3m_Neuron,Central
ORNt4m_Neuron,Central
ORNtiDF_Neuron,Central
PETOHMm_hs_Neuron,Central
PGL_Neuron,Central
PHCHGSm_Neuron,Central
PHEMEtm_Neuron,Central
PHETA1m_Neuron,Central
PIt7_Neuron,Central
PPA2m_Neuron,Central
PPAtm_Neuron,Central
PPBNGS_Neuron,Central
PPCOACm_Neuron,Central
PPCOAOm_Neuron,Central
PPPG9tm_Neuron,Central
PPPGOm_Neuron,Central
PRGNLONEtm_Neuron,Central
PRO1xm_Neuron,Central
PROt2r_Neuron,Central
PROtm_Neuron,Central
PYLALDOXm_Neuron,Central
PYRt2r_Neuron,Central
RPE_Neuron,Central
RPI_Neuron,Central
SACCD3m_Neuron,Central
SACCD4m_Neuron,Central
SARCStm_Neuron,Central
SARDHm_Neuron,Central
SERGLNexR_Neuron,Central
SERGLYexR_Neuron,Central
SERt4_Neuron,Central
SLDxm_Neuron,Central
SPODMm_Neuron,Central
SSALxm_Neuron,Central
SUCCt2m_Neuron,Central
SULFOX_Neuron,Central
T2M26DCOAHLm_Neuron,Central
T4HCINNMFM_Neuron,Central
TALA_Neuron,Central
TCYNTt_Neuron,Central
TCYNTtm_Neuron,Central
THFtm_Neuron,Central
TKT1_Neuron,Central
TKT2_Neuron,Central
TRDRm_Neuron,Central
TYRTAm_Neuron,Central
UPP3S_Neuron,Central
UPPDC1_Neuron,Central
VALTA_Neuron,Central
VALTAm_Neuron,Central
VALt5m_Neuron,Central
VALtec_Neuron,Central
VITD2Hm_Neuron,Central
VITD2tm_Neuron,Central
VITD3Hm_Neuron,Central
VITD3tm_Neuron,Central
VITD3tm3_Neuron,Central
MTDNAploym_Neuron,Central
MTDNAdpolym_Neuron,Central
NACASPtm_Neuron,Central
NACASPt_Neuron,Central
GGNG_Neuron,Central
GLGNS1_Neuron,Central
GLBRAN_Neuron,Central
GLDBRAN_Neuron,Central
SERtm_Neuron,Central
UREAt_Neuron,Central
UREAtm_Neuron,Central
PCREATtmdiffir_Neuron,Central
ALATA_L_Neuron,Central
ALATA_Lm_Neuron,Central
ALAtN1_Neuron,Central
Kt_Neuron,Central
HtrnsEX_Neuron,Central
Fe2t_Neuron,Central
PEPCK_Neuron,Central
ALDH1L1,Central
